Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
Water-tank-4d,[25],31,S,1,False,True,0,0,[0.74222639 0.66802055 0.66623896 0.60729239],,,[0.627 0.564 0.562 0.57 ],[0.627 0.564 0.562 0.57 ],[0.627 0.564 0.562 0.57 ],[0. 0. 0. 0.],pwc,295.3273995790005,293.9446325909994,0.928408705001857,0.14243088500006706,0.200001
Water-tank-4d,[25],,False,,False,True,,,,,,inf,inf,inf,inf,pwc,,,,,
Water-tank-4d,[25],38,S,1,False,True,0,0,[0.65679595 0.62482804 0.62506437 0.61250553],,,[0.558 0.527 0.528 0.574],[0.558 0.527 0.528 0.574],[0.558 0.527 0.528 0.574],[0. 0. 0. 0.],pwc,190.34275960300147,189.42402208299973,0.38325617999362294,0.16117610700166551,0.246001
Water-tank-5d,[15],2,S,14,False,True,50,50,[0.2 0.2 0.2 0.2 0.2],,,[0.18707143 0.1325     0.13271429 0.13192857 0.131     ],[0.025 0.005 0.005 0.005 0.005],[0.219 0.2   0.2   0.2   0.2  ],[0.04540526 0.09066559 0.09039708 0.09136228 0.09259821],pwa,88.47699032500168,24.707612579000852,61.47266478300662,0.5041793400014285,0.565001
Water-tank-5d,[15],4,S,4,False,True,6,6,[0.2 0.2 0.2 0.2 0.2],,,[0.15225 0.1025  0.1025  0.1025  0.1025 ],[0.023 0.005 0.005 0.005 0.005],[0.2 0.2 0.2 0.2 0.2],[0.07484108 0.0975     0.0975     0.0975     0.0975    ],pwa,28.22465455099882,23.708930133998365,3.9123686980019556,0.1811834069994802,0.0950001
Water-tank-5d,[15],9,S,8,False,True,26,26,[0.2 0.2 0.2 0.2 0.2],,,[0.173   0.12775 0.1295  0.127   0.12725],[0.026 0.005 0.005 0.005 0.005],[0.2 0.2 0.2 0.2 0.2],[0.05626722 0.09329624 0.09121677 0.09424304 0.09392384],pwa,34.696897910998814,25.757928867999,8.17149488799987,0.19434931100113317,0.107001
Water-tank-5d,[15],14,S,12,False,True,34,34,[0.2 0.2 0.2 0.2 0.2],,,[0.153      0.121      0.11875    0.11875    0.12008333],[0.023 0.005 0.005 0.005 0.005],[0.2 0.2 0.2 0.2 0.2],[0.07477856 0.0935735  0.0961363  0.0961363  0.09457753],pwa,46.470936850000726,29.50934779200179,15.32629626699054,0.5231312289979542,0.142001
Water-tank-5d,[15],17,S,6,False,True,10,10,[0.2 0.2 0.2 0.2 0.2],,,[0.167 0.135 0.135 0.135 0.135],[0.024 0.005 0.005 0.005 0.005],[0.2 0.2 0.2 0.2 0.2],[0.06445412 0.09192388 0.09192388 0.09192388 0.09192388],pwa,40.2640733349981,35.30283291899832,4.429021625008318,0.16365024599872413,0.0980001
Water-tank-5d,[15],21,S,13,False,True,48,48,[0.2 0.2 0.2 0.2 0.2],,,[0.17092308 0.11269231 0.12115385 0.12330769 0.11246154],[0.044 0.005 0.005 0.005 0.005],[0.21 0.2  0.2  0.2  0.2 ],[0.05445317 0.09471852 0.0902167  0.08623883 0.09462201],pwa,172.48730068100122,12.314663245997508,158.3958067420026,0.29695028100104537,0.148001
Water-tank-5d,[15],25,S,8,False,True,26,26,[0.2 0.2 0.2 0.2 0.2],,,[0.1805   0.13825  0.128125 0.129875 0.131   ],[0.032 0.005 0.005 0.009 0.005],[0.22 0.2  0.2  0.2  0.2 ],[0.05661934 0.08393562 0.09283512 0.09055998 0.08958655],pwa,55.61211549200016,27.524917741000536,27.094751300002827,0.25339609000002383,0.107001
